run_id,model_name,region_code,region_name,item_code,item_rosstat,item_name,series_type,forecast_date,forecast_value,lower_bound,upper_bound,method,status,weight_vertical,norm_name,product_name,2026-04-27,2026-05-25,weekly_fact_index,used_weekly_fact,blended_value,model_contribution_pp,blended_contribution_pp,contribution_delta_pp
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,252,2501,"Картофель, кг",mom_index,2026-05-01,119.509529,,,ets_additive_trend,ok,0.00612,"картофель, кг","Картофель, кг",51.02,50.58,99.1375931007448,True,99.1375931007448,0.11939831748,-0.005277930223441857,-0.12467624770344186
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,195,111,"Говядина (кроме бескостного мяса), кг",mom_index,2026-05-01,102.177734,,,ets_additive_trend,ok,0.01634,"говядина кроме бескостного мяса, кг","Говядина (кроме бескостного мяса), кг",752.93,744.68,98.90428061041531,True,98.90428061041531,0.035584173560000015,-0.017904054825813788,-0.0534882283858138
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,435,2621,"Огурцы свежие, кг",mom_index,2026-05-01,59.295979,,,ets_additive_trend,ok,0.00468,"огурцы свежие, кг","Огурцы свежие, кг",172.69,118.25,68.4753025652904,True,68.4753025652904,-0.19049481828,-0.14753558399444092,0.04295923428555909
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,599,202,"Сосиски, сардельки, кг",mom_index,2026-05-01,99.984019,,,ets_additive_trend,ok,0.00553,"сосиски, сардельки, кг","Сосиски, сардельки, кг",464.51,494.28,106.40890400637231,True,106.40890400637231,-8.837492999998049e-05,0.03544123915523888,0.03552961408523886
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,265,201,"Колбаса вареная, кг",mom_index,2026-05-01,100.445036,,,ets_additive_trend,ok,0.00464,"колбаса вареная, кг","Колбаса вареная, кг",550.13,593.39,107.8635958773381,True,107.8635958773381,0.002064967040000008,0.03648708487084878,0.03442211783084877
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,382,2605,"Морковь, кг",mom_index,2026-05-01,119.253941,,,ets_additive_trend,ok,0.0021,"морковь, кг","Морковь, кг",55.52,57.6,103.74639769452449,True,103.74639769452449,0.04043327609999999,0.007867435158501428,-0.032565840941498565
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,320,2307,"Крупа гречневая-ядрица, кг",mom_index,2026-05-01,99.5814,,,ets_additive_trend,ok,0.00337,"крупа гречневая-ядрица, кг","Крупа гречневая-ядрица, кг",77.83,83.6,107.41359372992419,True,107.41359372992419,-0.001410681999999993,0.024983810869844515,0.026394492869844507
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,360,701,"Масло сливочное, кг",mom_index,2026-05-01,97.761455,,,ets_additive_trend,ok,0.00872,"масло сливочное, кг","Масло сливочное, кг",1168.97,1178.16,100.78616217695921,True,100.78616217695921,-0.01952011240000002,0.006855334183084303,0.02637544658308432
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,349,2603,"Лук репчатый, кг",mom_index,2026-05-01,116.6691,,,ets_additive_trend,ok,0.00236,"лук репчатый, кг","Лук репчатый, кг",42.85,45.62,106.46441073512251,True,106.46441073512251,0.039339076,0.015256009334889131,-0.02408306666511087
20260522T080649Z,statsmodels,7,Кабардино-Балкарская Республика,588,1102,"Сметана, кг",mom_index,2026-05-01,99.68909,,,ets_additive_trend,ok,0.00748,"сметана, кг","Сметана, кг",394.02,405.25,102.85010913151618,True,102.85010913151618,-0.0023256068000000515,0.021318816303741005,0.023644423103741055
